宝宝肚子发胀怎么办啊,"['宝宝', '肚子', '发胀', '怎么办', '啊']",临床表现(病症表现),3
颅内转移瘤是一种什么病？,"['颅内转移瘤', '是', '一种', '什么', '病', '？']",定义,0
心包填塞是怎么回事？,"['心包', '填塞', '是', '怎么回事', '？']",定义,0
容易感冒容易疲劳精神不怎么好,"['容易', '感冒', '容易', '疲劳', '精神', '不怎么', '好']",临床表现(病症表现),3
血压低会有心脏病吗,"['血压低', '会', '有', '心脏病', '吗']",相关病症,4
请问阴道两边好痒是怎么回事？,"['请问', '阴道', '两边', '好痒', '是', '怎么回事', '？']",临床表现(病症表现),3
您好肺病检查什么,"['您好', '肺病', '检查', '什么']",化验/体检方案,10
我家宝宝六个月了，我前两天发高烧血压低了怎么办,"['我家', '宝宝', '六个月', '了', '，', '我', '前两天', '发高烧', '血压低', '了', '怎么办']",治疗方法,5
幼儿急疹有什么一同出现,"['幼儿急疹', '有', '什么', '一同', '出现']",相关病症,4
肺纤维化的症状是什么?,"['肺纤维化', '的', '症状', '是', '什么', '?']",临床表现(病症表现),3
宝宝大便次数太多是怎么回事?,"['宝宝', '大便', '次数', '太多', '是', '怎么回事', '?']",病因,1
您好白发症能否治好,"['您好', '白发症', '能否', '治', '好']",治愈率,8
肾结石在饮食上应该注意哪些？,"['肾结石', '在', '饮食', '上', '应该', '注意', '哪些', '？']",禁忌,9
宝宝一直便秘,"['宝宝', '一直', '便秘']",治疗方法,5
请问得了结肠平滑肌瘤做啥检查,"['请问', '得', '了', '结肠平滑肌瘤', '做', '啥', '检查']",化验/体检方案,10
请问霉菌阴道炎和宫颈糜烂有什么关系？,"['请问', '霉菌', '阴道炎', '和', '宫颈糜烂', '有', '什么', '关系', '？']",其他,12
打扰问一下绝经与抑郁症看啥科呢,"['打扰', '问', '一下', '绝经与抑郁症', '看', '啥', '科', '呢']",所属科室,6
宝宝拉肚子快俩月了,"['宝宝', '拉肚子', '快俩', '月', '了']",病因,1
你好，麻烦问一下狐惑看什么医生,"['你好', '，', '麻烦', '问', '一下', '狐惑', '看', '什么', '医生']",所属科室,6
心慌气短，浑身乏力，之前没有任何不舒服的前兆,"['心慌', '气短', '，', '浑身', '乏力', '，', '之前', '没有', '任何', '不', '舒服', '的', '前兆']",病因,1
请问左边小阴唇痛到底是怎么回事？,"['请问', '左边', '小阴唇', '痛', '到底', '是', '怎么回事', '？']",定义,0
怎样自己做肛门扩张？我13岁，可以做吗？,"['怎样', '自己', '做', '肛门', '扩张', '？', '我', '13', '岁', '，', '可以', '做', '吗', '？']",其他,12
寻常疣治愈概率几成,"['寻常疣', '治愈', '概率', '几成']",治愈率,8
高血压要注意哪些？,"['高血压', '要', '注意', '哪些', '？']",禁忌,9
颈椎椎弓裂有什么并发,"['颈椎椎弓裂', '有', '什么', '并发']",相关病症,4
尿道感染应该怎么治疗？,"['尿道感染', '应该', '怎么', '治疗', '？']",治疗方法,5
强迫症为什么喝绿茶好,"['强迫症', '为什么', '喝', '绿茶', '好']",其他,12
请问用了妇科外用药后阴道里面有些东西怎么回事？,"['请问', '用', '了', '妇科', '外用药', '后', '阴道', '里面', '有些', '东西', '怎么回事', '？']",临床表现(病症表现),3
总是上小便，怎么回事啊,"['总是', '上', '小便', '，', '怎么回事', '啊']",病因,1
孩子从小就不爱吃饭，怎么办？,"['孩子', '从小', '就', '不', '爱', '吃饭', '，', '怎么办', '？']",治疗方法,5
请问白带中带有大量脓似的的液体？,"['请问', '白带', '中', '带有', '大量', '脓', '似的', '的', '液体', '？']",临床表现(病症表现),3
脑疝可以并发哪些疾病?,"['脑疝', '可以', '并发', '哪些', '疾病', '?']",相关病症,4
灼性神经痛要做哪些检查,"['灼性神经痛', '要', '做', '哪些', '检查']",化验/体检方案,10
右大腿麻木是怎么回事，神经受到压迫导致的的吗？,"['右', '大腿', '麻木', '是', '怎么回事', '，', '神经', '受到', '压迫', '导致', '的', '的', '吗', '？']",病因,1
高血压何时睡觉合适?,"['高血压', '何时', '睡觉', '合适', '?']",其他,12
宝宝便秘吃什么水果最好,"['宝宝', '便秘', '吃', '什么', '水果', '最好']",治疗方法,5
请教一下高睾酮血症治好的可能性,"['请教', '一下', '高睾酮血症', '治好', '的', '可能性']",治愈率,8
女人小便次数多，是怎么回事。,"['女人', '小便', '次数', '多', '，', '是', '怎么回事', '。']",病因,1
最近经常拉肚子,"['最近', '经常', '拉肚子']",治疗方法,5
您好原发性脑干损伤可以挂什么科,"['您好', '原发性脑干损伤', '可以', '挂', '什么', '科']",所属科室,6
内痔出血，怎么治疗，经常有下坠感,"['内痔', '出血', '，', '怎么', '治疗', '，', '经常', '有', '下坠', '感']",治疗方法,5
没有怀孕整天恶心啊，干呕,"['没有', '怀孕', '整天', '恶心', '啊', '，', '干呕']",其他,12
宝宝不吃饭啊？？？？,"['宝宝', '不', '吃饭', '啊', '？', '？', '？', '？']",治疗方法,5
如果得了老年人睡眠障碍看啥科呢,"['如果', '得', '了', '老年人睡眠障碍', '看', '啥', '科', '呢']",所属科室,6
请问慢阻肺可以治好吗?,"['请问', '慢阻', '肺', '可以', '治好', '吗', '?']",治愈率,8
打扰问一下前牙深覆盖做啥检查,"['打扰', '问', '一下', '前牙深覆盖', '做', '啥', '检查']",化验/体检方案,10
老慢支、慢阻肺胸闷气短,"['老慢', '支', '、', '慢阻', '肺', '胸闷', '气短']",临床表现(病症表现),3
颅内血肿可以怎么诊断,"['颅内', '血肿', '可以', '怎么', '诊断']",临床表现(病症表现),3
尿频尿急，尿无力，怎么办,"['尿频', '尿急', '，', '尿', '无力', '，', '怎么办']",治疗方法,5
怎么治疗妊娠合并偏头痛,"['怎么', '治疗', '妊娠合并偏头痛']",治疗方法,5
低血糖来时要怎么注意保养,"['低血糖', '来时', '要', '怎么', '注意', '保养']",治疗方法,5
肠癌如何进行多学科诊治,"['肠癌', '如何', '进行', '多', '学科', '诊治']",治疗方法,5
间质性肺炎的晚期症状是什么啊?,"['间质性肺炎', '的', '晚期', '症状', '是', '什么', '啊', '?']",相关病症,4
肝癌应该采用什么治疗方式好,"['肝癌', '应该', '采用', '什么', '治疗', '方式', '好']",治疗方法,5
病尿病十五年了今年才血压高如何处理,"['病尿病', '十五年', '了', '今年', '才', '血压高', '如何', '处理']",治疗方法,5
心悸有什么表现,"['心悸', '有', '什么', '表现']",定义,0
冒昧问一下淋巴管平滑肌瘤得治疗几个小时,"['冒昧', '问', '一下', '淋巴管平滑肌瘤', '得', '治疗', '几个', '小时']",治疗时间,11
肾盂旁囊肿治好要多久,"['肾盂旁囊肿', '治好', '要', '多久']",治疗时间,11
如果得了细菌性肺炎会传给孕妇吗,"['如果', '得', '了', '细菌性肺炎', '会', '传给', '孕妇', '吗']",传染性,7
晚上睡觉心悸怎么办,"['晚上', '睡觉', '心悸', '怎么办']",治疗方法,5
什么是痔疮？,"['什么', '是', '痔疮', '？']",定义,0
我拉肚子拉了一个星期，每天有4-5次,"['我', '拉肚子', '拉', '了', '一个', '星期', '，', '每天', '有', '4', '-', '5', '次']",其他,12
请问得了肾动脉闭塞可以挂什么科,"['请问', '得', '了', '肾动脉闭塞', '可以', '挂', '什么', '科']",所属科室,6
小孩一岁不会吃饭还老吐奶怎么回事？,"['小孩', '一岁', '不会', '吃饭', '还', '老吐奶', '怎么回事', '？']",病因,1
支气管炎怎么治最有效,"['支气管炎', '怎么', '治', '最', '有效']",治疗方法,5
胶样粟丘疹治愈比例,"['胶样粟丘疹', '治愈', '比例']",治愈率,8
问一下胰腺分裂要治几多时间,"['问', '一下', '胰腺分裂', '要治', '几多', '时间']",治疗时间,11
请问药流后有血是月经吗？,"['请问', '药流后', '有血', '是', '月经', '吗', '？']",其他,12
直肠脱垂最好的治疗方法是什么？,"['直肠脱垂', '最好', '的', '治疗', '方法', '是', '什么', '？']",治疗方法,5
法洛四联症是什么？,"['法洛四联症', '是', '什么', '？']",定义,0
现在吃万艾可维持病情,"['现在', '吃', '万艾可', '维持', '病情']",其他,12
高压123低压57心跳78正常吗？,"['高压', '123', '低压', '57', '心跳', '78', '正常', '吗', '？']",临床表现(病症表现),3
脑穿通畸形的病因是什么,"['脑', '穿通', '畸形', '的', '病因', '是', '什么']",病因,1
一夜没有拉大便，今天白天拉的频繁。,"['一夜', '没有', '拉大', '便', '，', '今天', '白天', '拉', '的', '频繁', '。']",病因,1
请问子宫肌瘤对身体有哪些影响？,"['请问', '子宫肌瘤', '对', '身体', '有', '哪些', '影响', '？']",临床表现(病症表现),3
有高血压病常年服药，怎么办才好可以吃点什么呢医生,"['有', '高血压病', '常年', '服药', '，', '怎么办', '才', '好', '可以', '吃点', '什么', '呢', '医生']",治疗方法,5
尖锐湿疣怎么治？已经看了两个月的医生了…,"['尖锐湿疣', '怎么', '治', '？', '已经', '看', '了', '两个', '月', '的', '医生', '了', '…']",临床表现(病症表现),3
胃肠型心绞痛做造影能确诊吗,"['胃肠', '型', '心绞痛', '做', '造影', '能', '确诊', '吗']",其他,12
帕金森患者除了运动障碍外还有哪些症状？,"['帕金森', '患者', '除了', '运动障碍', '外', '还有', '哪些', '症状', '？']",临床表现(病症表现),3
:食物过敏的症状有哪些？食用过后多久会有反应？,"[':', '食物', '过敏', '的', '症状', '有', '哪些', '？', '食用', '过后', '多久', '会', '有', '反应', '？']",病因,1
鼻咽肿瘤手术能根治吗？,"['鼻咽', '肿瘤', '手术', '能', '根治', '吗', '？']",治愈率,8
拉肚子的疑问,"['拉肚子', '的', '疑问']",病因,1
慢阻肺是怎么导致的，怎么治疗,"['慢阻', '肺', '是', '怎么', '导致', '的', '，', '怎么', '治疗']",其他,12
着凉会心悸吗,"['着凉', '会', '心悸', '吗']",病因,1
上鄂出现小肿块，有点硬硬的感觉，是什么原因,"['上', '鄂', '出现', '小', '肿块', '，', '有点', '硬硬', '的', '感觉', '，', '是', '什么', '原因']",相关病症,4
3个月宝宝吐奶而且拉白色的屎,"['3', '个', '月', '宝宝', '吐奶', '而且', '拉', '白色', '的', '屎']",临床表现(病症表现),3
乳腺癌治愈后可以不可以过性生活吗？,"['乳腺癌', '治愈', '后', '可以', '不', '可以', '过', '性生活', '吗', '？']",其他,12
四周岁的男孩子四天没大便正常吗,"['四周岁', '的', '男孩子', '四天', '没', '大便', '正常', '吗']",治疗方法,5
肝硬化腹水的病因是什么,"['肝硬化腹水', '的', '病因', '是', '什么']",病因,1
尿血有哪些药是可以对该病情能有效治疗的？,"['尿血', '有', '哪些', '药是', '可以', '对', '该', '病情', '能', '有效', '治疗', '的', '？']",治疗方法,5
请教一下少腹如扇治好要多少天,"['请教', '一下', '少腹如扇', '治好', '要', '多少', '天']",治疗时间,11
多年痔疮可以做电子视频肠镜么？,"['多年', '痔疮', '可以', '做', '电子', '视频', '肠镜', '么', '？']",化验/体检方案,10
有心肌梗死病史的糖尿病患者如何运动?,"['有', '心肌梗死', '病史', '的', '糖尿病', '患者', '如何', '运动', '?']",其他,12
打扰问一下色厥色脱症候,"['打扰', '问', '一下', '色厥色脱', '症候']",临床表现(病症表现),3
想要治愈心动过缓.心宝丸是不是有效药?,"['想要', '治愈', '心动过缓', '.', '心宝丸', '是不是', '有效', '药', '?']",其他,12
怎么治疗脑栓塞,"['怎么', '治疗', '脑栓塞']",治疗方法,5
支气管扩张是不是慢性病,"['支气管扩张', '是不是', '慢性病']",定义,0
颅骨骨膜窦可以并发哪些疾病?,"['颅骨骨膜窦', '可以', '并发', '哪些', '疾病', '?']",相关病症,4
小孩心率不齐严重吗？,"['小孩', '心率', '不齐', '严重', '吗', '？']",病因,1
问一下真菌性关节炎病症是啥,"['问', '一下', '真菌性关节炎', '病症', '是', '啥']",临床表现(病症表现),3
小儿癫痫发作诱发失语综合征怎么回事,"['小儿癫痫发作诱发失语综合征', '怎么回事']",病因,1
你好，麻烦问一下颞下颌关节病看啥科呢,"['你好', '，', '麻烦', '问', '一下', '颞下颌关节病', '看', '啥', '科', '呢']",所属科室,6
你好，麻烦问一下中风能感染到其他人吗,"['你好', '，', '麻烦', '问', '一下', '中', '风能', '感染', '到', '其他人', '吗']",传染性,7
请问用水洗手上少量精液后摸阴道内会怀孕吗？,"['请问', '用水', '洗手', '上', '少量', '精液', '后', '摸', '阴道内', '会', '怀孕', '吗', '？']",其他,12
高血压血管热导致手部骚痒,"['高血压', '血管', '热', '导致', '手部', '骚痒']",治疗方法,5
五个月大的宝宝拉肚子，快二十天了，该怎么办,"['五个', '月', '大', '的', '宝宝', '拉肚子', '，', '快', '二十天', '了', '，', '该', '怎么办']",治疗方法,5
经常性的头痛，我通过饮食来调理会有效果吗？,"['经常性', '的', '头痛', '，', '我', '通过', '饮食', '来', '调理', '会', '有', '效果', '吗', '？']",治愈率,8
请问子宫囊肿能手术吗？,"['请问', '子宫囊肿', '能', '手术', '吗', '？']",治疗方法,5
脑部手术后可以喝芬格欣吗？谢谢你了,"['脑部', '手术', '后', '可以', '喝芬格欣', '吗', '？', '谢谢', '你', '了']",禁忌,9
间歇依赖型尖端扭转型室性心动过速是什么病,"['间歇依赖型尖端扭转型室性心动过速', '是', '什么', '病']",相关病症,4
交感神经链综合征怎么诊断,"['交感神经链综合征', '怎么', '诊断']",临床表现(病症表现),3
Kimura病治好要多久,"['Kimura病', '治好', '要', '多久']",治疗时间,11
您好先天性高位肩胛挂啥科,"['您好', '先天性高位肩胛', '挂', '啥', '科']",所属科室,6
强迫症是内分泌紊乱吗,"['强迫症', '是', '内分泌', '紊乱', '吗']",相关病症,4
哺乳期能吃什么药缓解痔疮？,"['哺乳期', '能', '吃', '什么', '药', '缓解', '痔疮', '？']",治疗方法,5
盐酸小辟碱片和果导片一样么？,"['盐酸', '小辟', '碱片', '和', '果导片', '一样', '么', '？']",其他,12
药源性精神症样反应是什么病,"['药源性', '精神', '症样', '反应', '是', '什么', '病']",病因,1
因为酒后乱性所以两周后感觉肚子空空的这是怎么了,"['因为', '酒后', '乱性', '所以', '两周', '后', '感觉', '肚子', '空空', '的', '这', '是', '怎么', '了']",治疗方法,5
问一下心肾不交多大概率能治好？,"['问', '一下', '心肾不交', '多大', '概率', '能治好', '？']",治愈率,8
可以吃蓖麻油炸鸡蛋来助产吗？,"['可以', '吃', '蓖麻油', '炸', '鸡蛋', '来', '助产', '吗', '？']",其他,12
单纯性高血压，怎么降压？,"['单纯性', '高血压', '，', '怎么', '降压', '？']",治疗方法,5
您好，请问有什么好的建议吗？？要怎么服用好呢,"['您好', '，', '请问', '有', '什么', '好', '的', '建议', '吗', '？', '？', '要', '怎么', '服用', '好', '呢']",其他,12
心悸喝中药能治好吗,"['心悸', '喝', '中药', '能治好', '吗']",治疗方法,5
为什么我的阴茎短小,"['为什么', '我', '的', '阴茎', '短小']",其他,12
10个月的宝宝一天拉四五次大便是怎么回事,"['10', '个', '月', '的', '宝宝', '一天', '拉', '四五次', '大', '便是', '怎么回事']",病因,1
请问月经延迟一周会是什么原因导致的？,"['请问', '月经', '延迟', '一周', '会', '是', '什么', '原因', '导致', '的', '？']",其他,12
20岁喝这个有助于长高吗三精牌葡萄糖酸钙口服药,"['20', '岁', '喝', '这个', '有助于', '长高', '吗', '三精', '牌', '葡萄糖酸钙', '口服药']",其他,12
月经期喝凉茶和服三黄片会使经期延长吗？,"['月经期', '喝', '凉茶', '和服', '三', '黄片', '会', '使', '经期', '延长', '吗', '？']",禁忌,9
请问性交出血、白带增多该怎么治疗？,"['请问', '性交', '出血', '、', '白带', '增多', '该', '怎么', '治疗', '？']",治疗方法,5
什么是心悸怔忡,"['什么', '是', '心悸', '怔忡']",定义,0
宝宝小便发黄怎么回事,"['宝宝', '小便', '发黄', '怎么回事']",病因,1
做完血栓外痔手术后当天想上厕所怎么办？,"['做', '完', '血栓', '外痔', '手术', '后', '当天', '想', '上', '厕所', '怎么办', '？']",其他,12
急性心肌梗死病人饮食安排,"['急性心肌梗死', '病人', '饮食', '安排']",禁忌,9
缩窄性心包炎是什么，有什么症状？,"['缩窄性心包炎', '是', '什么', '，', '有', '什么', '症状', '？']",其他,12
孕妇拉肚子会有影响吗,"['孕妇', '拉肚子', '会', '有', '影响', '吗']",其他,12
请教一下利斯特菌病应该看啥医生,"['请教', '一下', '利斯特菌病', '应该', '看', '啥', '医生']",所属科室,6
脊髓肿瘤可以怎么诊断,"['脊髓肿瘤', '可以', '怎么', '诊断']",临床表现(病症表现),3
腹型癫痫综合征可以看啥科室,"['腹型癫痫综合征', '可以', '看', '啥', '科室']",所属科室,6
最近总是腿疼，小腹胀，感觉不适,"['最近', '总是', '腿疼', '，', '小', '腹胀', '，', '感觉', '不适']",其他,12
结核性脓胸是什么病,"['结核性脓胸', '是', '什么', '病']",定义,0
直肠炎和结肠炎有什么不同特征吗,"['直肠炎', '和', '结肠炎', '有', '什么', '不同', '特征', '吗']",其他,12
您好，贲门失迟缓征；慢性胃炎、胃下垂怎么治疗？,"['您好', '，', '贲门', '失', '迟缓', '征', '；', '慢性胃炎', '、', '胃下垂', '怎么', '治疗', '？']",治疗方法,5
请问外阴长了个硬硬的东西该怎么办？,"['请问', '外阴', '长', '了', '个', '硬硬', '的', '东西', '该', '怎么办', '？']",治疗方法,5
手术治疗小儿先天性心脏病有什么优缺点？,"['手术', '治疗', '小儿', '先天性心脏病', '有', '什么', '优缺点', '？']",其他,12
氨碘肽注射液你们健客网站有卖的吗？应该怎么购买？,"['氨', '碘', '肽', '注射液', '你们', '健客', '网站', '有', '卖', '的', '吗', '？', '应该', '怎么', '购买', '？']",其他,12
先天性心脏病患儿生活上要注意什么？,"['先天性心脏病', '患儿', '生活', '上要', '注意', '什么', '？']",禁忌,9
间质性肺炎对身体有哪些危害,"['间质性肺炎', '对', '身体', '有', '哪些', '危害']",其他,12
在不是经期时出少量血，并有白带，已持续两周。,"['在', '不是', '经期', '时出', '少量', '血', '，', '并', '有', '白带', '，', '已', '持续', '两周', '。']",临床表现(病症表现),3
尿道综合征要做什么化验治疗吗,"['尿道综合征', '要', '做', '什么', '化验', '治疗', '吗']",化验/体检方案,10
酒泡中药可以治痔疮吗,"['酒泡', '中药', '可以', '治', '痔疮', '吗']",其他,12
先心病的发病率是怎么样的呢？,"['先心病', '的', '发病率', '是', '怎么样', '的', '呢', '？']",其他,12
亚急性硬膜外血肿有哪些并发症吗,"['亚急性硬膜外血肿', '有', '哪些', '并发症', '吗']",相关病症,4
能否停用阿司匹林肠溶片和立普妥,"['能否', '停用', '阿司匹林', '肠溶片', '和', '立普妥']",其他,12
小便带血是怎么回事？,"['小便', '带血', '是', '怎么回事', '？']",临床表现(病症表现),3
什么是痔疮的症状,"['什么', '是', '痔疮', '的', '症状']",定义,0
我想问正清风痛宁片瓶装与盒装是一样的吗,"['我想', '问正', '清风', '痛宁片', '瓶装', '与', '盒装', '是', '一样', '的', '吗']",其他,12
矢状窦旁脑膜瘤易感人群是什么人,"['矢状窦旁脑膜瘤', '易感', '人群', '是', '什么', '人']",传染性,7
最近经常咳嗽，流鼻涕眼泪。,"['最近', '经常', '咳嗽', '，', '流鼻涕', '眼泪', '。']",临床表现(病症表现),3
屁眼老是湿湿的是怎么回事。,"['屁眼', '老是', '湿湿的', '是', '怎么回事', '。']",病因,1
宝宝的大便颜色有点绿是怎么回事？,"['宝宝', '的', '大便', '颜色', '有点', '绿是', '怎么回事', '？']",病因,1
便秘便血，有胀痛感，是怎么了？该怎么治,"['便秘', '便血', '，', '有胀', '痛感', '，', '是', '怎么', '了', '？', '该', '怎么', '治']",其他,12
早博吃稳心颗粒不怎么好应该配加点什么药好,"['早博', '吃', '稳心', '颗粒', '不怎么', '好', '应该', '配', '加点', '什么', '药好']",其他,12
我想请问一下，小便刺痛，持续不好怎么办？,"['我', '想', '请问', '一下', '，', '小便', '刺痛', '，', '持续', '不好', '怎么办', '？']",临床表现(病症表现),3
宝宝三四天大便一次正常吗,"['宝宝', '三四天', '大便', '一次', '正常', '吗']",其他,12
请问怎样治疗外阴炎好？,"['请问', '怎样', '治疗', '外阴炎', '好', '？']",治疗方法,5
请问左侧输卵管切除会影响生育吗？,"['请问', '左侧', '输卵管', '切除', '会', '影响', '生育', '吗', '？']",其他,12
吃什么药治疗痔疮？饮食注意什么？,"['吃', '什么', '药', '治疗', '痔疮', '？', '饮食', '注意', '什么', '？']",其他,12
您好血管肉瘤如何体检？,"['您好', '血管肉瘤', '如何', '体检', '？']",化验/体检方案,10
肛门息肉看什么医生,"['肛门息肉', '看', '什么', '医生']",所属科室,6
胸廓出口综合征是什么病,"['胸廓出口综合征', '是', '什么', '病']",定义,0
孕期如何预防胎儿先天性心脏病？,"['孕期', '如何', '预防', '胎儿', '先天性心脏病', '？']",预防,2
感冒会引起咳嗽变异性哮喘吗,"['感冒', '会', '引起', '咳嗽', '变异性哮喘', '吗']",相关病症,4
女性小便次数多是什么原因,"['女性', '小便', '次数', '多', '是', '什么', '原因']",病因,1
小腹胀痛尿频怎么回事,"['小', '腹胀痛', '尿频', '怎么回事']",临床表现(病症表现),3
我晚上总磨牙，我觉得是缺钙，请问如何治疗啊,"['我', '晚上', '总', '磨牙', '，', '我', '觉得', '是', '缺钙', '，', '请问', '如何', '治疗', '啊']",治疗方法,5
请问轻度宫颈糜烂应该怎么治好？,"['请问', '轻度', '宫颈糜烂', '应该', '怎么', '治', '好', '？']",治疗方法,5
老人心绞痛注意什么,"['老人', '心绞痛', '注意', '什么']",禁忌,9
心肌梗死患者不能吃什么？,"['心肌梗死', '患者', '不能', '吃', '什么', '？']",禁忌,9
脑疝偏瘫能恢复什么程度,"['脑疝', '偏瘫', '能', '恢复', '什么', '程度']",治愈率,8
大便干，疼，有血，是痔疮。痔疮根据病况分几种？,"['大便', '干', '，', '疼', '，', '有血', '，', '是', '痔疮', '。', '痔疮', '根据', '病况', '分', '几种', '？']",定义,0
如果得了慢性病毒性肝炎易感人群是什么人,"['如果', '得', '了', '慢性病毒性肝炎', '易感', '人群', '是', '什么', '人']",传染性,7
你好，麻烦问一下发芽马铃薯中毒应该看啥医生,"['你好', '，', '麻烦', '问', '一下', '发芽马铃薯中毒', '应该', '看', '啥', '医生']",所属科室,6
你好，我想咨询一下，请问小便疼痛该怎么办好呢？,"['你好', '，', '我', '想', '咨询', '一下', '，', '请问', '小便', '疼痛', '该', '怎么办', '好', '呢', '？']",治疗方法,5
颅狭症要挂什么科室,"['颅狭症', '要', '挂', '什么', '科室']",所属科室,6
请问乙状结肠癌术后化疗会引起肠梗阻吗,"['请问', '乙状结肠癌', '术后', '化疗', '会', '引起', '肠梗阻', '吗']",相关病症,4
痔疮手术要注意什么,"['痔疮', '手术', '要', '注意', '什么']",其他,12
近10多天未用降糖药血糖低是怎么回事,"['近', '10', '多天', '未', '用', '降糖药', '血糖', '低', '是', '怎么回事']",病因,1
中风恢复期，吃什么药可以帮助恢复呢？,"['中风', '恢复期', '，', '吃', '什么', '药', '可以', '帮助', '恢复', '呢', '？']",治疗方法,5
请问刘医生，我一年内可以做了两次脑部CT吗？,"['请问', '刘', '医生', '，', '我', '一年', '内', '可以', '做', '了', '两次', '脑部', 'CT', '吗', '？']",化验/体检方案,10
神经纤维瘤是什么病？,"['神经纤维瘤', '是', '什么', '病', '？']",定义,0
原发性纵隔肿瘤是什么病,"['原发性纵隔肿瘤', '是', '什么', '病']",定义,0
孕妇得了痔疮都可以吃哪种蔬菜水果好,"['孕妇', '得', '了', '痔疮', '都', '可以', '吃', '哪种', '蔬菜水果', '好']",其他,12
颈部脊髓损伤可以怎么预防,"['颈部脊髓损伤', '可以', '怎么', '预防']",预防,2
请问老年人正常压力脑积水症状表现是什么,"['请问', '老年人正常压力脑积水', '症状', '表现', '是', '什么']",临床表现(病症表现),3
"还是不能勃起,什么药物具有治疗这个症状的疗效？","['还是', '不能', '勃起', ',', '什么', '药物', '具有', '治疗', '这个', '症状', '的', '疗效', '？']",治疗方法,5
神经型食物中毒治好希望大么？,"['神经型食物中毒', '治', '好', '希望', '大', '么', '？']",治愈率,8
外痔自己会好吗,"['外痔', '自己', '会', '好', '吗']",治疗方法,5
重症肌无力是怎样分类的？,"['重症肌无力', '是', '怎样', '分类', '的', '？']",相关病症,4
就是胸口左侧有时候疼的不能呼吸，有时候不疼,"['就是', '胸口', '左侧', '有时候', '疼', '的', '不能', '呼吸', '，', '有时候', '不疼']",临床表现(病症表现),3
请问月经不来也没怀孕怎么办？,"['请问', '月经', '不来', '也', '没', '怀孕', '怎么办', '？']",其他,12
神经痛应该如何治疗？,"['神经痛', '应该', '如何', '治疗', '？']",治疗方法,5
备孕多久同房一次？,"['备孕', '多久', '同房', '一次', '？']",其他,12
2岁4个月小孩不怎么吃饭咋办呢,"['2', '岁', '4', '个', '月', '小孩', '不怎么', '吃饭', '咋办', '呢']",其他,12
请问脑出血有哪些危害,"['请问', '脑出血', '有', '哪些', '危害']",相关病症,4
心脏增大是什么病？,"['心脏', '增大', '是', '什么', '病', '？']",定义,0
请问阴道口突然长了个包是怎么回事？,"['请问', '阴道口', '突然', '长', '了', '个', '包是', '怎么回事', '？']",临床表现(病症表现),3
小孩吃东西就说肚子痛还吐是怎么回事,"['小孩', '吃', '东西', '就', '说', '肚子痛', '还', '吐', '是', '怎么回事']",病因,1
心肌梗死患者日常要注意什么？,"['心肌梗死', '患者', '日常', '要', '注意', '什么', '？']",禁忌,9
请问阴道炎是不是有很多种？,"['请问', '阴道炎', '是不是', '有', '很', '多种', '？']",病因,1
肺癌咳血吃什么食物好,"['肺癌', '咳血', '吃', '什么', '食物', '好']",禁忌,9
结核胸膜炎引发肠梗阻可能是腹膜炎？,"['结核', '胸膜炎', '引发', '肠梗阻', '可能', '是', '腹膜炎', '？']",病因,1
黄疸迟迟不退,"['黄疸', '迟迟', '不', '退']",临床表现(病症表现),3
我的孩子一岁三个月了最近容易发怒吃饭也不正常,"['我', '的', '孩子', '一岁', '三个', '月', '了', '最近', '容易', '发怒', '吃饭', '也', '不', '正常']",病因,1
婴儿恶心干呕是怎么回事？,"['婴儿', '恶心', '干呕', '是', '怎么回事', '？']",临床表现(病症表现),3
膝盖扭伤内侧疼膝盖正面肿下面弯曲伸直有响声,"['膝盖', '扭伤', '内侧', '疼', '膝盖', '正面', '肿', '下面', '弯曲', '伸直', '有', '响声']",临床表现(病症表现),3
宝宝四天没有大便，怎么办,"['宝宝', '四天', '没有', '大便', '，', '怎么办']",治疗方法,5
手术后排便有包是怎么了？严重吗,"['手术', '后', '排便', '有', '包是', '怎么', '了', '？', '严重', '吗']",病因,1
八个月的宝宝大便什么颜色,"['八个', '月', '的', '宝宝', '大便', '什么', '颜色']",定义,0
冒昧问一下鞭虫病有什么一同出现,"['冒昧', '问', '一下', '鞭虫病', '有', '什么', '一同', '出现']",相关病症,4
心窝部隐痛是怎么回事？,"['心窝', '部', '隐痛', '是', '怎么回事', '？']",临床表现(病症表现),3
打扰问一下阴囊坏疽应该看啥医生,"['打扰', '问', '一下', '阴囊坏疽', '应该', '看', '啥', '医生']",所属科室,6
为什么我胸部有很硬的东西,"['为什么', '我', '胸部', '有', '很', '硬', '的', '东西']",临床表现(病症表现),3
阴茎短小，勃起无力,"['阴茎', '短小', '，', '勃起', '无力']",其他,12
横膈膨出是什么病,"['横膈', '膨出', '是', '什么', '病']",定义,0
冒昧问一下解释解释大疱性类天疱疮是啥？,"['冒昧', '问', '一下', '解释', '解释', '大疱性类天疱疮', '是', '啥', '？']",定义,0
婴幼儿腹泻怎么治疗,"['婴幼儿腹泻', '怎么', '治疗']",治疗方法,5
直肠在什么位置,"['直肠', '在', '什么', '位置']",其他,12
你好，麻烦问一下腹部大血管损伤可以看啥科室,"['你好', '，', '麻烦', '问', '一下', '腹部大血管损伤', '可以', '看', '啥', '科室']",所属科室,6
小孩腹泻严重,"['小孩', '腹泻', '严重']",治疗方法,5
